AccidentIndex,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Vehicle_Type
200901JC76862,2021-01-15,4,3,6,1,51.63132,2,Waltham Forest,0.004931,1,1,Metropolitan Police,2,2,30,2024-12-10T10:40:00.000+01:00,1,4
200930D001002,2021-12-09,3,3,6,1,52.909988,1,Derby,-1.496028,2,2,Derbyshire,2,2,30,2024-12-10T22:32:00.000+01:00,1,2
5766fb22-bf58-40d5-85f6-cbd541154991,2021-12-18,5,3,6,2,55.033612,1,North Tyneside,-1.441413,1,2,Northumbria,2,2,30,2024-12-10T21:25:00.000+01:00,1,2
200905FF02007,2021-09-30,3,2,3,1,53.393894,2,Liverpool,-2.8624,2,3,Merseyside,1,2,30,2024-12-10T10:03:00.000+01:00,1,2
200922E905469,2021-10-03,6,2,2,1,52.076982,2,"Herefordshire, County of",-2.662131,3,2,West Mercia,2,2,50,2024-12-10T18:00:00.000+01:00,0,2
00ee02b6-2935-41fd-a22b-620f5cd9c9c1,2021-02-11,3,2,3,1,51.453625,0,North Somerset,-2.749212,1,1,Avon and Somerset,4,2,60,2024-12-10T06:36:00.000+01:00,0,2
200901RY10250,2021-07-04,6,3,6,1,51.456417,2,Bexley,0.146674,1,1,Metropolitan Police,1,3,30,2024-12-10T14:50:00.000+01:00,1,2
2009160C05880,2021-10-06,2,3,6,1,54.013391,2,East Riding of Yorkshire,-0.239746,1,1,Humberside,2,2,40,2024-12-10T11:20:00.000+01:00,0,2
201001RG40613,2022-10-13,3,2,1,1,51.450059,2,Greenwich,0.029074,1,2,Metropolitan Police,1,4,30,2024-12-10T15:24:00.000+01:00,1,2
200937B042051,2021-03-26,4,2,4,1,52.245211,2,Forest Heath,0.405027,1,1,Suffolk,1,2,30,2024-12-10T18:23:00.000+01:00,1,4
201001TB00593,2022-09-22,3,2,2,1,51.539022,2,Newham,0.032885,3,2,Metropolitan Police,1,2,30,2024-12-10T17:08:00.000+01:00,1,2
201001WW50774,2022-09-30,4,2,3,2,51.452713,2,Lambeth,-0.147558,1,2,Metropolitan Police,1,2,30,2024-12-10T18:30:00.000+01:00,1,2
201045EL56615,2022-12-12,7,3,6,1,51.401407,2,Elmbridge,-0.3811,1,3,Surrey,1,2,30,2024-12-10T15:19:00.000+01:00,1,2
201014K278110,2022-10-20,3,2,6,1,53.356886,2,Sheffield,-1.372223,1,1,South Yorkshire,1,2,30,2024-12-10T15:10:00.000+01:00,1,2
200997KB00608,2021-08-08,6,2,2,1,55.836467,2,Renfrewshire,-4.503313,1,2,Strathclyde,1,2,30,2024-12-10T11:55:00.000+01:00,1,1
200904BB09106,2021-06-21,7,2,5,1,54.061398,2,Lancaster,-2.885184,1,1,Lancashire,1,2,30,2024-12-10T18:50:00.000+01:00,1,2
